t,z,vz,E_total
1.8749999999999947,-0.05960081898236727,-0.4681583154370262,173.3166492657929
1.8791666666666613,-0.06157820439925701,-0.47457250005353696,174.33707923007822
1.883333333333328,-0.06357841117330947,-0.4800496257725889,175.37180252210553
1.8874999999999946,-0.06559731912981824,-0.4845379095621046,176.41873468147728
1.8916666666666613,-0.06763059374012458,-0.4879859064735206,177.4756573759182
1.895833333333328,-0.0696736891701057,-0.49034290319546936,178.54021877257728
1.8999999999999946,-0.0717218530901172,-0.4915593408027589,179.60993503845515
1.9041666666666612,-0.07377005737322435,-0.4915690279457171,180.68213977276687
1.9083333333333279,-0.07581323955794012,-0.49036372433178294,181.75416452122943
1.9124999999999945,-0.0778460781570968,-0.48788126379760577,182.82313832477467
1.9166666666666612,-0.07986308258420001,-0.48408106250476807,183.88609002043663
1.9208333333333278,-0.08185860972509976,-0.47892651381593887,184.93994397462038
1.9249999999999945,-0.08382688119235247,-0.47238515214065135,185.98152961873063
1.9291666666666611,-0.08576200490804241,-0.46442969176558496,187.00759425192246
1.9333333333333278,-0.08765799405857978,-0.45503739612897043,188.01481360840273
1.9374999999999944,-0.08950879053921977,-0.4441911553535969,188.9998063764292
1.941666666666661,-0.09130829222380445,-0.4318804043003235,189.95915095159782
1.9458333333333278,-0.09305038173625022,-0.4181014829869848,190.88940292021286
1.9499999999999944,-0.09472895688557566,-0.4028580358381051,191.7871137613363
1.954166666666661,-0.09633796027519345,-0.3861608135082718,192.64884901305433
1.9583333333333277,-0.09787141348802508,-0.36802877107959076,193.4712099382901
1.9624999999999944,-0.09932345083652933,-0.34848896364101867,194.25085439523983
1.966666666666661,-0.10068835423833124,-0.32757681643245984,194.98451870146945
1.9708333333333277,-0.1019605902202215,-0.30533663565366265,195.66904084964236
1.9749999999999943,-0.10313484374256633,-0.2818208453627602,196.3013814099421
1.979166666666661,-0.10420605225729304,-0.2570900435344099,196.87864502321787
1.9833333333333276,-0.10516942389814572,-0.2312091938046421,197.39809175615073
1.9874999999999943,-0.106020509494582,-0.20426054314470615,197.85718391069716
1.991666666666661,-0.10505150329327605,0.23256148831342852,197.33377968186772
1.9958333333333276,-0.10399583962961188,0.2533592792794,196.76190129946886
1.9999999999999942,-0.10285716736184004,0.27328134426524087,196.14574788687693
2.004166666666661,-0.10163943646045429,0.2922554163325804,195.48759513238372
2.008333333333328,-0.10034679688251721,0.31023349870489714,194.78983486310352
2.012499999999995,-0.0989836273706623,0.3271606828451784,194.05497604044
2.0166666666666617,-0.0975544863695217,0.342993840273744,193.2856238956207
2.0208333333333286,-0.09606408207419874,0.3576970308775105,192.48445994822086
2.0249999999999955,-0.09451727320781436,0.37123412793224936,191.65423652166035
2.0291666666666623,-0.09291894858471747,0.38359790954325357,190.79772591183047
2.033333333333329,-0.09127409316799853,0.39476530001254645,189.91773020469884
2.037499999999996,-0.08958772870231055,0.4047274717651155,189.0170640476711
2.041666666666663,-0.08786488953099604,0.4134814011154813,188.09853580214843
2.04583333333333,-0.08611059949370857,0.4210296089489919,187.16493387220535
2.0499999999999967,-0.0843298483640205,0.42738027112513954,186.21901324820297
2.0541666666666636,-0.08252757207980421,0.43254630821190865,185.2634836680674
2.0583333333333305,-0.08070863398084215,0.43654514375089715,184.30099894829692
2.0624999999999973,-0.07887780763000016,0.4393983242020777,183.33414730321445
2.066666666666664,-0.07703976137155111,0.4411311020277729,182.3654427895185
2.070833333333331,-0.07519904478130761,0.4417719816584392,181.39731794831295
2.074999999999998,-0.07336007642705307,0.44135240502108836,180.43211744477804
2.079166666666665,-0.07152713350922199,0.4399063002794581,179.47209281082596
2.0833333333333317,-0.06970434347572736,0.4374696080387103,178.51939839732484
2.0874999999999986,-0.06789567688905002,0.43407998080256305,177.57608826971074
